                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98187,                 3.4789,                 1.4265,                0.07253,                0.65816,                0.22226,                0.19023,                0.69729,                 3.1542,                 1.1604,             0.00023271,             0.00023271,             0.00023271
                      2,                0.91653,                 2.4697,                 1.3654,                0.38693,                0.47085,                0.43069,                0.30787,                0.89774,                 2.5195,                 1.4031,             0.00046605,             0.00046605,             0.00046605
                      3,                0.96167,                 2.0319,                 1.3691,                 0.4196,                0.50739,                  0.445,                0.32641,                 1.0367,                 2.5979,                 1.5748,             0.00069468,             0.00069468,             0.00069468
                      4,                0.94899,                 1.8868,                 1.3716,                0.44688,                0.57408,                0.53434,                0.38831,                 0.9752,                 2.2975,                 1.4352,             0.00069279,             0.00069279,             0.00069279
                      5,                0.92726,                 1.6777,                 1.3357,                0.49914,                0.47849,                0.51057,                0.38481,                0.90874,                 2.2388,                 1.4041,             0.00068573,             0.00068573,             0.00068573
                      6,                0.87707,                 1.5947,                 1.3078,                0.66518,                0.50077,                0.56752,                0.42898,                0.90498,                 2.3568,                 1.3622,             0.00067866,             0.00067866,             0.00067866
                      7,                0.83358,                  1.497,                 1.2685,                0.52459,                0.65762,                0.64869,                0.47929,                0.89694,                 1.9486,                 1.3825,             0.00067159,             0.00067159,             0.00067159
                      8,                0.86582,                 1.4271,                 1.2926,                0.73045,                0.55025,                0.67295,                0.49005,                0.84676,                 1.7686,                 1.3456,             0.00066452,             0.00066452,             0.00066452
                      9,                0.81587,                 1.3679,                 1.2628,                0.64343,                0.58383,                0.67233,                0.52135,                0.80924,                 1.6708,                 1.2632,             0.00065745,             0.00065745,             0.00065745
                     10,                0.82861,                 1.3489,                 1.2861,                0.61664,                0.62625,                0.69178,                0.50105,                0.87674,                 1.7502,                  1.366,             0.00065038,             0.00065038,             0.00065038
                     11,                0.77048,                 1.2327,                 1.2237,                0.56765,                0.57152,                0.59587,                0.42588,                0.87706,                 1.8682,                 1.3348,             0.00064331,             0.00064331,             0.00064331
                     12,                0.77371,                  1.163,                 1.2092,                0.41989,                0.61965,                0.55237,                0.44683,                0.81893,                 1.8866,                  1.339,             0.00063625,             0.00063625,             0.00063625
                     13,                0.74535,                 1.1129,                 1.1901,                0.72427,                0.65216,                0.74831,                0.52321,                0.96257,                 1.6025,                 1.4106,             0.00062918,             0.00062918,             0.00062918
                     14,                0.77433,                  1.103,                 1.2029,                0.60486,                0.57242,                0.62441,                0.50052,                0.81305,                  1.842,                 1.2717,             0.00062211,             0.00062211,             0.00062211
                     15,                0.72475,                 1.0693,                 1.1914,                0.71179,                0.60288,                0.70165,                0.51919,                0.84375,                 1.7409,                 1.2932,             0.00061504,             0.00061504,             0.00061504
                     16,                0.76982,                 1.0602,                 1.2122,                0.64852,                0.59414,                0.65542,                0.47984,                0.97933,                 1.5888,                 1.4144,             0.00060797,             0.00060797,             0.00060797
                     17,                0.70345,                0.97411,                 1.1748,                0.67236,                0.59821,                0.62404,                0.47268,                 0.9161,                 1.7606,                 1.4142,              0.0006009,              0.0006009,              0.0006009
                     18,                0.70131,                0.95946,                 1.1692,                0.55853,                0.62996,                0.63339,                0.46547,                0.84796,                 1.6399,                 1.3388,             0.00059383,             0.00059383,             0.00059383
                     19,                0.70647,                0.94509,                 1.1673,                0.70906,                0.63351,                0.74782,                0.54768,                0.82999,                 1.5645,                 1.2904,             0.00058677,             0.00058677,             0.00058677
                     20,                0.68803,                0.91646,                 1.1458,                 0.6745,                0.56692,                0.69965,                0.57604,                0.82365,                 1.3601,                 1.2967,              0.0005797,              0.0005797,              0.0005797
                     21,                0.68691,                 0.9521,                 1.1555,                0.61217,                0.68566,                0.68855,                0.54642,                0.80406,                 1.5078,                 1.2588,             0.00057263,             0.00057263,             0.00057263
                     22,                0.67213,                0.86412,                  1.134,                0.62211,                0.67714,                0.71002,                 0.5769,                0.77289,                 1.2953,                 1.2337,             0.00056556,             0.00056556,             0.00056556
                     23,                0.66297,                0.85558,                 1.1283,                0.68613,                 0.7641,                0.77138,                0.58753,                 0.7966,                 1.3666,                 1.2664,             0.00055849,             0.00055849,             0.00055849
                     24,                0.65678,                0.84724,                 1.1309,                0.66526,                0.58396,                0.64481,                0.50758,                0.81855,                 1.5751,                  1.275,             0.00055142,             0.00055142,             0.00055142
                     25,                0.63053,                0.79156,                 1.1166,                0.67485,                0.67671,                0.73535,                0.57484,                0.81848,                 1.2677,                 1.2607,             0.00054435,             0.00054435,             0.00054435
                     26,                0.61738,                0.76609,                 1.0962,                0.65148,                0.70124,                0.72256,                0.56527,                0.75656,                 1.3734,                 1.2151,             0.00053728,             0.00053728,             0.00053728
                     27,                 0.6185,                0.74438,                 1.1038,                0.70289,                 0.6348,                0.72709,                 0.5809,                0.82073,                 1.3719,                 1.2773,             0.00053022,             0.00053022,             0.00053022
                     28,                0.61904,                0.77941,                 1.1106,                0.68767,                0.66279,                0.72841,                0.57358,                0.82472,                 1.3129,                 1.2808,             0.00052315,             0.00052315,             0.00052315
                     29,                0.60731,                0.73496,                 1.1153,                0.69842,                0.66084,                 0.7339,                0.53814,                0.84516,                 1.2713,                 1.2806,             0.00051608,             0.00051608,             0.00051608
                     30,                0.59715,                 0.7017,                 1.0893,                0.74636,                0.58667,                0.67792,                0.55787,                0.80969,                 1.4998,                 1.2866,             0.00050901,             0.00050901,             0.00050901
                     31,                0.58956,                0.72105,                 1.0898,                0.74586,                0.65932,                0.71833,                0.55662,                0.83488,                 1.3609,                 1.2999,             0.00050194,             0.00050194,             0.00050194
                     32,                0.60128,                0.72208,                  1.101,                0.71836,                0.69747,                0.74268,                0.58923,                0.74397,                 1.2845,                 1.2065,             0.00049487,             0.00049487,             0.00049487
                     33,                0.59743,                0.70233,                 1.0956,                0.71736,                0.72298,                0.77405,                0.60671,                0.78577,                  1.175,                 1.2534,              0.0004878,              0.0004878,              0.0004878
                     34,                 0.5731,                0.67296,                 1.0858,                0.74191,                0.70243,                0.74361,                0.59434,                 0.7695,                 1.1518,                 1.2253,             0.00048074,             0.00048074,             0.00048074
                     35,                0.59315,                0.68157,                 1.0797,                 0.7351,                0.68486,                0.75914,                0.60266,                0.76357,                 1.1576,                 1.1831,             0.00047367,             0.00047367,             0.00047367
                     36,                0.56263,                0.64311,                  1.069,                0.75488,                0.68679,                0.77003,                0.61078,                0.83213,                 1.2535,                 1.2924,              0.0004666,              0.0004666,              0.0004666
                     37,                0.55046,                0.63791,                 1.0683,                0.77985,                0.62068,                0.72699,                0.58948,                0.79943,                 1.2728,                 1.2608,             0.00045953,             0.00045953,             0.00045953
                     38,                0.55218,                0.64013,                 1.0636,                0.74528,                0.59396,                0.70225,                0.58564,                0.71837,                  1.331,                 1.1639,             0.00045246,             0.00045246,             0.00045246
                     39,                0.55249,                0.62994,                 1.0717,                0.69228,                0.64234,                0.71242,                0.57912,                0.80017,                  1.486,                 1.2727,             0.00044539,             0.00044539,             0.00044539
                     40,                 0.5671,                0.62954,                 1.0805,                0.66896,                0.65747,                0.71094,                0.55818,                0.77184,                 1.3945,                 1.2441,             0.00043832,             0.00043832,             0.00043832
                     41,                 0.5416,                0.59815,                 1.0575,                0.67899,                0.74578,                 0.7089,                0.58119,                0.73756,                 1.1599,                 1.1842,             0.00043126,             0.00043126,             0.00043126
                     42,                0.54514,                0.61752,                 1.0758,                0.67826,                0.73317,                0.75378,                0.60064,                0.72819,                 1.2461,                 1.1729,             0.00042419,             0.00042419,             0.00042419
                     43,                0.52911,                 0.5825,                 1.0484,                0.75124,                0.77506,                0.77601,                0.60482,                0.72561,                 1.0108,                  1.158,             0.00041712,             0.00041712,             0.00041712
                     44,                0.54158,                 0.5771,                 1.0505,                 0.7126,                0.62503,                0.74115,                0.60388,                0.69925,                 1.2778,                 1.1508,             0.00041005,             0.00041005,             0.00041005
                     45,                0.53364,                0.59471,                 1.0678,                0.76929,                0.66932,                0.75112,                0.62711,                0.75604,                 1.1751,                 1.2142,             0.00040298,             0.00040298,             0.00040298
                     46,                0.53289,                0.57486,                 1.0538,                0.72285,                 0.7005,                0.77171,                0.63065,                0.74967,                 1.2954,                 1.1997,             0.00039591,             0.00039591,             0.00039591
