                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98796,                 3.0332,                  1.176,                0.00623,                      1,                  0.995,                0.78636,                0.68154,                 2.9805,                0.93852,                0.00028,                0.00028,                0.00028
                      2,                0.76047,                 1.4063,                0.96783,                      1,                0.82102,                  0.995,                0.83346,                0.62003,                 2.9331,                0.96905,             0.00057426,             0.00057426,             0.00057426
                      3,                0.77667,                 1.3406,                 1.0273,                      1,                  0.208,                0.62202,                  0.479,                0.88365,                 3.4091,                  1.113,             0.00086258,             0.00086258,             0.00086258
                      4,                 1.0292,                 1.4554,                 1.3587,                0.44806,                0.36842,                 0.4188,                0.25323,                0.97466,                 3.7068,                 1.2929,               0.001145,               0.001145,               0.001145
                      5,                0.81424,                 1.2155,                 1.0537,                0.54691,                0.52632,                 0.5377,                0.38437,                 1.0143,                 3.0884,                 1.1801,              0.0014214,              0.0014214,              0.0014214
                      6,                0.77231,                   1.43,                 0.9685,                0.58302,                0.73684,                0.61381,                0.38921,                 1.1962,                 2.6767,                 1.5876,              0.0016919,              0.0016919,              0.0016919
                      7,                0.80562,                  1.085,                 1.0135,                0.52132,                0.73684,                0.51608,                0.29278,                  1.093,                  2.395,                 1.4249,              0.0018812,              0.0018812,              0.0018812
                      8,                0.76977,                 1.0521,                 1.0172,                0.51661,                0.52632,                0.49256,                0.24403,                 1.3195,                 2.6477,                 1.7193,              0.0018614,              0.0018614,              0.0018614
                      9,                 0.7275,                 1.2659,                0.96751,                0.70289,                0.25056,                0.24926,                0.10878,                 1.4816,                   3.68,                 1.8219,              0.0018416,              0.0018416,              0.0018416
                     10,                0.85827,                  1.013,                 1.1201,                0.83131,                0.77862,                0.88379,                0.64261,                0.95767,                 1.5336,                 1.2834,              0.0018218,              0.0018218,              0.0018218
                     11,                0.78437,                0.90064,                 1.0348,                      1,                0.72825,                0.77884,                0.63507,                0.94585,                 1.4329,                 1.1743,               0.001802,               0.001802,               0.001802
                     12,                 0.7488,                0.83042,                 1.0071,                0.94018,                0.94737,                 0.9512,                0.74366,                0.73551,                 1.0377,                 1.0637,              0.0017822,              0.0017822,              0.0017822
                     13,                0.74917,                0.77354,                 1.0103,                      1,                 0.8919,                0.98555,                0.81854,                 0.7988,                 1.1649,                 1.0974,              0.0017624,              0.0017624,              0.0017624
                     14,                0.67637,                0.68366,                0.95819,                0.93662,                0.94737,                0.95578,                0.71678,                0.87968,                 1.1828,                 1.2546,              0.0017426,              0.0017426,              0.0017426
                     15,                0.71079,                0.73418,                0.97517,                0.94132,                      1,                   0.99,                0.79861,                 0.7257,                0.86383,                 1.0481,              0.0017228,              0.0017228,              0.0017228
                     16,                0.70531,                  0.703,                0.99544,                      1,                0.99288,                  0.995,                0.79838,                0.78937,                0.83303,                 1.0892,               0.001703,               0.001703,               0.001703
                     17,                0.72596,                 0.6625,                0.99335,                0.94768,                      1,                 0.9925,                 0.8321,                0.75339,                0.81638,                 1.0226,              0.0016832,              0.0016832,              0.0016832
                     18,                0.71676,                0.63188,                0.99465,                0.94632,                0.94737,                0.98818,                 0.7665,                0.83489,                 0.7197,                 1.0825,              0.0016634,              0.0016634,              0.0016634
                     19,                0.69685,                0.63094,                 1.0024,                0.99647,                      1,                  0.995,                0.72899,                0.92585,                0.65827,                 1.1231,              0.0016436,              0.0016436,              0.0016436
                     20,                0.75201,                0.65561,                 1.0039,                0.92514,                      1,                  0.982,                0.80447,                0.70576,                0.75454,                 1.0422,              0.0016238,              0.0016238,              0.0016238
                     21,                0.67697,                 0.5784,                0.97499,                0.83238,                0.84211,                0.94222,                 0.7503,                0.75826,                0.81393,                  1.101,               0.001604,               0.001604,               0.001604
                     22,                0.67114,                0.58776,                0.97072,                0.92185,                0.94737,                0.97195,                0.77838,                0.84116,                0.75501,                 1.1637,              0.0015842,              0.0015842,              0.0015842
                     23,                0.71221,                0.59682,                 1.0015,                 0.9181,                0.94737,                0.96183,                0.76889,                 0.7375,                0.73187,                 1.0575,              0.0015644,              0.0015644,              0.0015644
