                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0838,                 4.6875,                 4.2479,                0.00103,                0.34071,                0.00172,                0.00057,                 2.6075,                  4.689,                 4.1567,              8.671e-05,              8.671e-05,              8.671e-05
                      2,                 3.0189,                 4.6145,                 4.2041,                0.00137,                 0.3712,                0.00721,                0.00173,                 2.6024,                 4.6873,                 4.1486,             0.00017831,             0.00017831,             0.00017831
                      3,                 3.0909,                 4.5655,                 4.1721,                  0.001,                0.39103,                0.02763,                0.00797,                 2.5876,                 4.6789,                 4.1246,             0.00026806,             0.00026806,             0.00026806
                      4,                 3.0546,                 4.5641,                 4.1241,                0.00096,                0.40996,                0.03721,                0.01103,                 2.5624,                 4.6723,                 4.0822,             0.00035595,             0.00035595,             0.00035595
                      5,                 2.9712,                 4.4678,                 4.0909,                0.00112,                0.42556,                0.01189,                0.00342,                 2.5423,                 4.6686,                 4.0393,               0.000442,               0.000442,               0.000442
                      6,                 3.0191,                 4.4573,                 4.0438,                0.00071,                0.39318,                0.00454,                0.00161,                 2.5311,                 4.7699,                 3.9263,             0.00052621,             0.00052621,             0.00052621
                      7,                 3.0065,                 4.4202,                 3.9764,                0.00149,                0.48823,                0.00537,                0.00195,                 2.5164,                 4.6346,                 3.9514,             0.00060856,             0.00060856,             0.00060856
                      8,                 2.9817,                 4.2948,                 3.8657,                0.72991,                0.03636,                0.05462,                0.02625,                 2.5267,                   7.69,                 3.6759,             0.00062078,             0.00062078,             0.00062078
                      9,                 2.9798,                 4.1584,                 3.7867,                 0.8219,                0.01818,                0.00702,                0.00233,                 2.5738,                 9.4273,                 3.6356,             0.00061417,             0.00061417,             0.00061417
                     10,                 2.9124,                 4.0568,                 3.7111,                0.83998,                0.00833,                0.01744,                0.00596,                  2.511,                 5.7196,                 3.5445,             0.00060757,             0.00060757,             0.00060757
                     11,                 2.8604,                 4.0575,                 3.6203,                0.76189,                0.05395,                0.04327,                 0.0113,                 2.4958,                 6.8703,                  3.508,             0.00060097,             0.00060097,             0.00060097
                     12,                 2.9316,                 4.1217,                 3.6059,                0.48357,                0.22049,                0.05516,                0.02136,                 2.4102,                 5.8594,                 3.4132,             0.00059436,             0.00059436,             0.00059436
                     13,                 2.9245,                 4.0344,                 3.5552,                0.73608,                0.04279,                 0.0331,                0.01046,                 2.4142,                 4.4199,                 3.3604,             0.00058776,             0.00058776,             0.00058776
                     14,                 2.8824,                 3.9373,                 3.4592,                0.58787,                 0.1582,                0.05918,                0.02037,                 2.3948,                 4.4926,                 3.3532,             0.00058116,             0.00058116,             0.00058116
                     15,                  2.785,                 3.9681,                 3.4014,                0.31154,                0.04942,                0.03807,                0.01037,                 2.4637,                 4.2253,                 3.3785,             0.00057455,             0.00057455,             0.00057455
                     16,                 2.8292,                  3.957,                 3.3987,                0.42857,                 0.1253,                0.05665,                0.02001,                 2.3458,                 4.2973,                  3.249,             0.00056795,             0.00056795,             0.00056795
                     17,                 2.7601,                 3.9007,                 3.3448,                0.39267,                0.20925,                0.06471,                0.02459,                 2.3692,                 4.2997,                 3.3092,             0.00056135,             0.00056135,             0.00056135
                     18,                 2.7493,                 3.8794,                 3.3033,                 0.7582,                0.04165,                0.03979,                0.01326,                 2.4181,                 4.2474,                 3.7379,             0.00055474,             0.00055474,             0.00055474
